Club,Goal_Difference,Points,Position,Season
Hull City,-41,30,19,09/10
Portsmouth,-32,19,20,09/10
Man Utd,44,90,1,08/09
Liverpool,50,86,2,08/09
Chelsea,44,83,3,08/09
Arsenal,31,72,4,08/09
Everton,18,63,5,08/09
Aston Villa,6,62,6,08/09
Fulham,5,53,7,08/09
Spurs,0,51,8,08/09
West Ham,-3,51,9,08/09
Man City,8,50,10,08/09
Wigan,-11,45,11,08/09
Stoke City,-17,45,12,08/09
Bolton,-12,41,13,08/09
Portsmouth,-19,41,14,08/09
Blackburn,-20,41,15,08/09
Sunderland,-20,36,16,08/09
Hull City,-25,35,17,08/09
Newcastle,-19,34,18,08/09
Middlesbrough,-29,32,19,08/09
West Brom,-31,32,20,08/09
Man Utd,58,87,1,07/08
Chelsea,39,85,2,07/08
Arsenal,43,83,3,07/08
Liverpool,39,76,4,07/08
Everton,22,65,5,07/08
Aston Villa,20,60,6,07/08
Blackburn,2,58,7,07/08
Portsmouth,8,57,8,07/08
Man City,-8,55,9,07/08
West Ham,-8,49,10,07/08
Spurs,5,46,11,07/08
Newcastle,-20,43,12,07/08
Middlesbrough,-10,42,13,07/08
Wigan,-17,40,14,07/08
Sunderland,-23,39,15,07/08
Bolton,-18,37,16,07/08
Fulham,-22,36,17,07/08
Reading,-25,36,18,07/08
Birmingham,-16,35,19,07/08
Derby,-69,11,20,07/08
Man Utd,56,89,1,06/07
Chelsea,40,83,2,06/07
Liverpool,30,68,3,06/07
Arsenal,28,68,4,06/07
Spurs,3,60,5,06/07
Everton,16,58,6,06/07
Bolton,-5,56,7,06/07
Reading,5,55,8,06/07
Portsmouth,3,54,9,06/07
Blackburn,-2,52,10,06/07
Aston Villa,2,50,11,06/07
Middlesbrough,-5,46,12,06/07
Newcastle,-9,43,13,06/07
Man City,-15,42,14,06/07
West Ham,-24,41,15,06/07
Fulham,-22,39,16,06/07
Wigan,-22,38,17,06/07
Sheffield Utd.,-23,38,18,06/07
Charlton,-26,34,19,06/07
Watford,-30,28,20,06/07
Chelsea,50,91,1,05/06
Man Utd,38,83,2,05/06
Liverpool,32,82,3,05/06
Arsenal,37,67,4,05/06
Spurs,15,65,5,05/06
Blackburn,9,63,6,05/06
Newcastle,5,58,7,05/06
Bolton,8,56,8,05/06
West Ham,-3,55,9,05/06
Wigan,-7,51,10,05/06
Everton,-15,50,11,05/06
Fulham,-10,48,12,05/06
Charlton,-14,47,13,05/06
Middlesbrough,-10,45,14,05/06
Man City,-5,43,15,05/06
Aston Villa,-13,42,16,05/06
Portsmouth,-25,38,17,05/06
Birmingham,-22,34,18,05/06
West Brom,-27,30,19,05/06
Sunderland,-43,15,20,05/06
Chelsea,57,95,1,04/05
Arsenal,51,83,2,04/05
Man Utd,32,77,3,04/05
Everton,-1,61,4,04/05
Liverpool,11,58,5,04/05
Bolton,5,58,6,04/05
Middlesbrough,7,55,7,04/05
Man City,8,52,8,04/05
Spurs,6,52,9,04/05
Aston Villa,-7,47,10,04/05
Charlton,-16,46,11,04/05
Birmingham,-6,45,12,04/05
Fulham,-8,44,13,04/05
Newcastle,-10,44,14,04/05
Blackburn,-11,42,15,04/05
Portsmouth,-16,39,16,04/05
West Brom,-25,34,17,04/05
Crystal Palace,-21,33,18,04/05
Norwich,-35,33,19,04/05
Southampton,-21,32,20,04/05
Arsenal,47,90,1,03/04
Chelsea,37,79,2,03/04
Man Utd,29,75,3,03/04
Liverpool,18,60,4,03/04
Newcastle,12,56,5,03/04
Aston Villa,4,56,6,03/04
Charlton,0,53,7,03/04
Bolton,-8,53,8,03/04
Fulham,6,52,9,03/04
Birmingham,-5,50,10,03/04
Middlesbrough,-8,48,11,03/04
Southampton,-1,47,12,03/04
Portsmouth,-7,45,13,03/04
Spurs,-10,45,14,03/04
Blackburn,-8,44,15,03/04
Man City,1,41,16,03/04
Everton,-12,39,17,03/04
Leicester,-17,33,18,03/04
Leeds,-39,33,19,03/04
Wolves,-39,33,20,03/04
Man Utd,40,83,1,02/03
Arsenal,43,78,2,02/03
Newcastle,15,69,3,02/03
Chelsea,30,67,4,02/03
Liverpool,20,64,5,02/03
Blackburn,9,60,6,02/03
Everton,-1,59,7,02/03
Southampton,-3,52,8,02/03
Man City,-7,51,9,02/03
Spurs,-11,50,10,02/03
Middlesbrough,4,49,11,02/03
Charlton,-11,49,12,02/03
Birmingham,-8,48,13,02/03
Fulham,-9,48,14,02/03
Leeds,1,47,15,02/03
Aston Villa,-5,45,16,02/03
Bolton,-10,44,17,02/03
West Ham,-17,42,18,02/03
West Brom,-36,26,19,02/03
Sunderland,-44,19,20,02/03
Arsenal,43,87,1,01/02
Liverpool,37,80,2,01/02
Man Utd,42,77,3,01/02
Newcastle,22,71,4,01/02
Leeds,16,66,5,01/02
Chelsea,28,64,6,01/02
West Ham,-9,53,7,01/02
Aston Villa,-1,50,8,01/02
Spurs,-4,50,9,01/02
Blackburn,4,46,10,01/02
Southampton,-8,45,11,01/02
Middlesbrough,-12,45,12,01/02
Fulham,-8,44,13,01/02
Charlton,-11,44,14,01/02
Everton,-12,43,15,01/02
Bolton,-18,40,16,01/02
Sunderland,-22,40,17,01/02
Ipswich,-23,36,18,01/02
Derby,-30,30,19,01/02
Leicester,-34,28,20,01/02
Man Utd,48,80,1,00/01
Arsenal,25,70,2,00/01
Liverpool,32,69,3,00/01
Leeds,21,68,4,00/01
Ipswich,15,66,5,00/01
Chelsea,23,61,6,00/01
Sunderland,5,57,7,00/01
Aston Villa,3,54,8,00/01
Charlton,-7,52,9,00/01
Southampton,-8,52,10,00/01
Newcastle,-6,51,11,00/01
Spurs,-7,49,12,00/01
Leicester,-12,48,13,00/01
Middlesbrough,0,42,14,00/01
West Ham,-5,42,15,00/01
Everton,-14,42,16,00/01
Derby,-22,42,17,00/01
Man City,-24,34,18,00/01
Coventry,-27,34,19,00/01
Bradford,-40,26,20,00/01
Man Utd,52,91,1,99/00
Arsenal,30,73,2,99/00
Leeds,15,69,3,99/00
Liverpool,21,67,4,99/00
Chelsea,19,65,5,99/00
Aston Villa,11,58,6,99/00
Sunderland,1,58,7,99/00
Leicester,0,55,8,99/00
West Ham,-1,55,9,99/00
Spurs,8,53,10,99/00
Newcastle,9,52,11,99/00
Middlesbrough,-6,52,12,99/00
Everton,10,50,13,99/00
Coventry,-7,44,14,99/00
